customer_id;ticket_id;x;y;picking;x_y_date_time
c30;t11256904;29;20;0;2023-11-02 09:49:00
c30;t11256904;29;19;0;2023-11-02 09:49:01
c30;t11256904;29;18;0;2023-11-02 09:49:02
c30;t11256904;29;17;0;2023-11-02 09:49:03
c30;t11256904;29;16;0;2023-11-02 09:49:04
c30;t11256904;30;16;0;2023-11-02 09:49:05
c30;t11256904;31;16;0;2023-11-02 09:49:06
c30;t11256904;32;16;0;2023-11-02 09:49:07
c30;t11256904;33;16;0;2023-11-02 09:49:08
c30;t11256904;34;16;0;2023-11-02 09:49:09
c30;t11256904;35;16;0;2023-11-02 09:49:10
c30;t11256904;36;16;0;2023-11-02 09:49:11
c30;t11256904;37;16;0;2023-11-02 09:49:12
c30;t11256904;37;15;0;2023-11-02 09:49:13
c30;t11256904;37;14;1;2023-11-02 09:49:14
c30;t11256904;37;14;1;2023-11-02 09:49:15
c30;t11256904;37;14;1;2023-11-02 09:49:16
c30;t11256904;37;14;1;2023-11-02 09:49:17
c30;t11256904;37;14;1;2023-11-02 09:49:18
c30;t11256904;37;14;1;2023-11-02 09:49:19
c30;t11256904;37;14;1;2023-11-02 09:49:20
c30;t11256904;37;14;1;2023-11-02 09:49:21
c30;t11256904;37;14;1;2023-11-02 09:49:22
c30;t11256904;37;14;1;2023-11-02 09:49:23
c30;t11256904;37;14;1;2023-11-02 09:49:24
c30;t11256904;37;14;1;2023-11-02 09:49:25
c30;t11256904;37;14;1;2023-11-02 09:49:26
c30;t11256904;37;14;1;2023-11-02 09:49:27
c30;t11256904;37;14;1;2023-11-02 09:49:28
c30;t11256904;37;14;1;2023-11-02 09:49:29
c30;t11256904;37;14;1;2023-11-02 09:49:30
c30;t11256904;37;14;0;2023-11-02 09:49:31
c30;t11256904;37;15;0;2023-11-02 09:49:32
c30;t11256904;37;16;0;2023-11-02 09:49:33
c30;t11256904;37;17;0;2023-11-02 09:49:34
c30;t11256904;37;18;0;2023-11-02 09:49:35
c30;t11256904;36;18;0;2023-11-02 09:49:36
c30;t11256904;35;18;0;2023-11-02 09:49:37
c30;t11256904;34;18;0;2023-11-02 09:49:38
c30;t11256904;33;18;0;2023-11-02 09:49:39
c30;t11256904;32;18;0;2023-11-02 09:49:40
c30;t11256904;31;18;0;2023-11-02 09:49:41
c30;t11256904;30;18;0;2023-11-02 09:49:42
c30;t11256904;29;18;0;2023-11-02 09:49:43
c30;t11256904;28;18;0;2023-11-02 09:49:44
c30;t11256904;27;18;0;2023-11-02 09:49:45
c30;t11256904;26;18;0;2023-11-02 09:49:46
c30;t11256904;25;18;0;2023-11-02 09:49:47
c30;t11256904;24;18;0;2023-11-02 09:49:48
c30;t11256904;23;18;0;2023-11-02 09:49:49
c30;t11256904;22;18;0;2023-11-02 09:49:50
c30;t11256904;21;18;0;2023-11-02 09:49:51
c30;t11256904;21;17;0;2023-11-02 09:49:52
c30;t11256904;21;16;0;2023-11-02 09:49:53
c30;t11256904;21;15;0;2023-11-02 09:49:54
c30;t11256904;21;14;0;2023-11-02 09:49:55
c30;t11256904;20;14;0;2023-11-02 09:49:56
c30;t11256904;19;14;0;2023-11-02 09:49:57
c30;t11256904;18;14;0;2023-11-02 09:49:58
c30;t11256904;17;14;0;2023-11-02 09:49:59
c30;t11256904;16;14;0;2023-11-02 09:50:00
c30;t11256904;15;14;0;2023-11-02 09:50:01
c30;t11256904;14;14;1;2023-11-02 09:50:02
c30;t11256904;14;14;1;2023-11-02 09:50:03
c30;t11256904;14;14;1;2023-11-02 09:50:04
c30;t11256904;14;14;1;2023-11-02 09:50:05
c30;t11256904;14;14;1;2023-11-02 09:50:06
c30;t11256904;14;14;1;2023-11-02 09:50:07
c30;t11256904;14;14;1;2023-11-02 09:50:08
c30;t11256904;14;14;1;2023-11-02 09:50:09
c30;t11256904;14;14;1;2023-11-02 09:50:10
c30;t11256904;14;14;0;2023-11-02 09:50:11
c30;t11256904;13;14;0;2023-11-02 09:50:12
c30;t11256904;12;14;0;2023-11-02 09:50:13
c30;t11256904;12;13;0;2023-11-02 09:50:14
c30;t11256904;12;12;0;2023-11-02 09:50:15
c30;t11256904;12;11;0;2023-11-02 09:50:16
c30;t11256904;13;11;0;2023-11-02 09:50:17
c30;t11256904;14;11;0;2023-11-02 09:50:18
c30;t11256904;15;11;0;2023-11-02 09:50:19
c30;t11256904;16;11;1;2023-11-02 09:50:20
c30;t11256904;16;11;1;2023-11-02 09:50:21
c30;t11256904;16;11;1;2023-11-02 09:50:22
c30;t11256904;16;11;1;2023-11-02 09:50:23
c30;t11256904;16;11;1;2023-11-02 09:50:24
c30;t11256904;16;11;1;2023-11-02 09:50:25
c30;t11256904;16;11;1;2023-11-02 09:50:26
c30;t11256904;16;11;1;2023-11-02 09:50:27
c30;t11256904;16;11;1;2023-11-02 09:50:28
c30;t11256904;16;11;1;2023-11-02 09:50:29
c30;t11256904;16;11;1;2023-11-02 09:50:30
c30;t11256904;16;11;1;2023-11-02 09:50:31
c30;t11256904;16;11;1;2023-11-02 09:50:32
c30;t11256904;16;11;1;2023-11-02 09:50:33
c30;t11256904;16;11;1;2023-11-02 09:50:34
c30;t11256904;16;11;1;2023-11-02 09:50:35
c30;t11256904;16;11;1;2023-11-02 09:50:36
c30;t11256904;16;11;1;2023-11-02 09:50:37
c30;t11256904;16;11;1;2023-11-02 09:50:38
c30;t11256904;16;11;1;2023-11-02 09:50:39
c30;t11256904;16;11;1;2023-11-02 09:50:40
c30;t11256904;16;11;1;2023-11-02 09:50:41
c30;t11256904;16;11;1;2023-11-02 09:50:42
c30;t11256904;16;11;1;2023-11-02 09:50:43
c30;t11256904;16;11;1;2023-11-02 09:50:44
c30;t11256904;16;11;1;2023-11-02 09:50:45
c30;t11256904;16;11;1;2023-11-02 09:50:46
c30;t11256904;16;11;1;2023-11-02 09:50:47
c30;t11256904;16;11;1;2023-11-02 09:50:48
c30;t11256904;16;11;1;2023-11-02 09:50:49
c30;t11256904;16;11;1;2023-11-02 09:50:50
c30;t11256904;16;11;1;2023-11-02 09:50:51
c30;t11256904;16;11;1;2023-11-02 09:50:52
c30;t11256904;16;11;1;2023-11-02 09:50:53
c30;t11256904;16;11;1;2023-11-02 09:50:54
c30;t11256904;16;11;1;2023-11-02 09:50:55
c30;t11256904;16;11;1;2023-11-02 09:50:56
c30;t11256904;16;11;1;2023-11-02 09:50:57
c30;t11256904;16;11;1;2023-11-02 09:50:58
c30;t11256904;16;11;1;2023-11-02 09:50:59
c30;t11256904;16;11;1;2023-11-02 09:51:00
c30;t11256904;16;11;1;2023-11-02 09:51:01
c30;t11256904;16;11;1;2023-11-02 09:51:02
c30;t11256904;16;11;1;2023-11-02 09:51:03
c30;t11256904;16;11;1;2023-11-02 09:51:04
c30;t11256904;16;11;1;2023-11-02 09:51:05
c30;t11256904;16;11;1;2023-11-02 09:51:06
c30;t11256904;16;11;1;2023-11-02 09:51:07
c30;t11256904;16;11;1;2023-11-02 09:51:08
c30;t11256904;16;11;1;2023-11-02 09:51:09
c30;t11256904;16;11;1;2023-11-02 09:51:10
c30;t11256904;16;11;0;2023-11-02 09:51:11
c30;t11256904;16;10;0;2023-11-02 09:51:12
