enter_date_time;customer_id;article_id;quantity;ticket_id
2023-11-02 14:34:00;c13;a4514;3;t11256887
2023-11-02 14:34:00;c13;a7632;2;t11256887
2023-11-02 14:34:00;c13;a9144;2;t11256887
2023-11-02 14:34:00;c13;a7787;2;t11256887
2023-11-02 14:34:00;c13;a7678;1;t11256887
2023-11-02 14:34:00;c13;a8077;5;t11256887
2023-11-02 14:34:00;c13;a7762;1;t11256887
2023-11-02 14:34:00;c13;a2255;5;t11256887
2023-11-02 14:34:00;c13;a1641;2;t11256887
2023-11-02 14:34:00;c13;a6449;4;t11256887
2023-11-02 14:34:00;c13;a6102;3;t11256887
2023-11-02 14:34:00;c13;a8183;2;t11256887
