enter_date_time;customer_id;article_id;quantity;ticket_id
2023-11-02 14:30:00;c69;a3580;3;t11256943
2023-11-02 14:30:00;c69;a5907;5;t11256943
2023-11-02 14:30:00;c69;a2443;1;t11256943
2023-11-02 14:30:00;c69;a6170;3;t11256943
2023-11-02 14:30:00;c69;a1801;1;t11256943
2023-11-02 14:30:00;c69;a2543;4;t11256943
2023-11-02 14:30:00;c69;a5882;2;t11256943
2023-11-02 14:30:00;c69;a3524;5;t11256943
2023-11-02 14:30:00;c69;a7848;1;t11256943
2023-11-02 14:30:00;c69;a7516;3;t11256943
2023-11-02 14:30:00;c69;a8110;4;t11256943
2023-11-02 14:30:00;c69;a7596;2;t11256943
2023-11-02 14:30:00;c69;a8455;1;t11256943
2023-11-02 14:30:00;c69;a2454;1;t11256943
2023-11-02 14:30:00;c69;a1618;5;t11256943
2023-11-02 14:30:00;c69;a0370;5;t11256943
