enter_date_time,customer_id,article_id,quantity,ticket_id
2023-11-02 11:14:00,c33,a4355,3,t11256907
2023-11-02 11:14:00,c33,a7660,3,t11256907
2023-11-02 11:14:00,c33,a5031,3,t11256907
2023-11-02 11:14:00,c33,a5304,1,t11256907
2023-11-02 11:14:00,c33,a8495,4,t11256907
2023-11-02 11:14:00,c33,a0021965,1,t11256907
2023-11-02 11:14:00,c33,a3073,2,t11256907
2023-11-02 11:14:00,c33,a8136,2,t11256907
2023-11-02 11:14:00,c33,a0020830,2,t11256907
2023-11-02 11:14:00,c33,a0086975,4,t11256907
2023-11-02 11:14:00,c33,a1624,1,t11256907
2023-11-02 11:14:00,c33,a2876,1,t11256907
2023-11-02 11:14:00,c33,a5902,4,t11256907
2023-11-02 11:14:00,c33,a8922,4,t11256907
2023-11-02 11:14:00,c33,a1608,3,t11256907
2023-11-02 11:14:00,c33,a1822,4,t11256907
2023-11-02 11:14:00,c33,a0404,3,t11256907
2023-11-02 11:14:00,c33,a2061,5,t11256907
2023-11-02 11:14:00,c33,a9373,1,t11256907
2023-11-02 11:14:00,c33,a0223,3,t11256907
2023-11-02 11:14:00,c33,a9068,2,t11256907
2023-11-02 11:14:00,c33,a5898,1,t11256907
2023-11-02 11:14:00,c33,a2442,3,t11256907
2023-11-02 11:14:00,c33,a7740,1,t11256907
