enter_date_time,customer_id,article_id,quantity,ticket_id
2023-11-02 17:41:00,c21,a8099,2,t11256895
2023-11-02 17:41:00,c21,a8427,5,t11256895
2023-11-02 17:41:00,c21,a6449,3,t11256895
2023-11-02 17:41:00,c21,a0020647,1,t11256895
2023-11-02 17:41:00,c21,a1602,1,t11256895
2023-11-02 17:41:00,c21,a0242,5,t11256895
2023-11-02 17:41:00,c21,a6217,1,t11256895
2023-11-02 17:41:00,c21,a9318,4,t11256895
2023-11-02 17:41:00,c21,a9108,2,t11256895
2023-11-02 17:41:00,c21,a3040,3,t11256895
2023-11-02 17:41:00,c21,a5498,5,t11256895
2023-11-02 17:41:00,c21,a2880,2,t11256895
2023-11-02 17:41:00,c21,a0021965,1,t11256895
