enter_date_time,customer_id,article_id,quantity,ticket_id
2023-11-02 09:47:00,c67,a1618,4,t11256941
2023-11-02 09:47:00,c67,a7765,4,t11256941
2023-11-02 09:47:00,c67,a5839,3,t11256941
2023-11-02 09:47:00,c67,a7650,4,t11256941
2023-11-02 09:47:00,c67,a2008,4,t11256941
2023-11-02 09:47:00,c67,a0377,4,t11256941
2023-11-02 09:47:00,c67,a2567,4,t11256941
2023-11-02 09:47:00,c67,a7614,5,t11256941
2023-11-02 09:47:00,c67,a2707,5,t11256941
2023-11-02 09:47:00,c67,a2046,1,t11256941
2023-11-02 09:47:00,c67,a7741,4,t11256941
2023-11-02 09:47:00,c67,a8177,4,t11256941
2023-11-02 09:47:00,c67,a4496,3,t11256941
2023-11-02 09:47:00,c67,a3524,2,t11256941
2023-11-02 09:47:00,c67,a4181,5,t11256941
2023-11-02 09:47:00,c67,a2880,5,t11256941
2023-11-02 09:47:00,c67,a6117,5,t11256941
2023-11-02 09:47:00,c67,a0086924,1,t11256941
2023-11-02 09:47:00,c67,a0361,5,t11256941
2023-11-02 09:47:00,c67,a2925,5,t11256941
2023-11-02 09:47:00,c67,a2606,1,t11256941
2023-11-02 09:47:00,c67,a0020235,3,t11256941
2023-11-02 09:47:00,c67,a1801,4,t11256941
2023-11-02 09:47:00,c67,a8171,5,t11256941
2023-11-02 09:47:00,c67,a8215,1,t11256941
