enter_date_time,customer_id,article_id,quantity,ticket_id
2023-11-02 15:25:00,c76,a2760,4,t11256950
2023-11-02 15:25:00,c76,a3248,3,t11256950
2023-11-02 15:25:00,c76,a8133,4,t11256950
2023-11-02 15:25:00,c76,a2111,4,t11256950
2023-11-02 15:25:00,c76,a9296,4,t11256950
2023-11-02 15:25:00,c76,a8411,2,t11256950
2023-11-02 15:25:00,c76,a1602,2,t11256950
2023-11-02 15:25:00,c76,a7043,5,t11256950
2023-11-02 15:25:00,c76,a8417,2,t11256950
2023-11-02 15:25:00,c76,a1642,1,t11256950
2023-11-02 15:25:00,c76,a3040,2,t11256950
