enter_date_time;customer_id;article_id;quantity;ticket_id
2023-11-02 19:47:00;c91;a8437;2;t11256965
2023-11-02 19:47:00;c91;a8477;2;t11256965
2023-11-02 19:47:00;c91;a0236;3;t11256965
2023-11-02 19:47:00;c91;a0091693;5;t11256965
2023-11-02 19:47:00;c91;a4514;2;t11256965
2023-11-02 19:47:00;c91;a7683;4;t11256965
2023-11-02 19:47:00;c91;a8923;1;t11256965
2023-11-02 19:47:00;c91;a8380;4;t11256965
2023-11-02 19:47:00;c91;a7882;3;t11256965
2023-11-02 19:47:00;c91;a8495;3;t11256965
2023-11-02 19:47:00;c91;a7747;1;t11256965
2023-11-02 19:47:00;c91;a0232;2;t11256965
2023-11-02 19:47:00;c91;a6407;3;t11256965
2023-11-02 19:47:00;c91;a4355;1;t11256965
2023-11-02 19:47:00;c91;a4180;2;t11256965
2023-11-02 19:47:00;c91;a5572;4;t11256965
2023-11-02 19:47:00;c91;a0086903;2;t11256965
