enter_date_time;customer_id;article_id;quantity;ticket_id
2023-11-02 13:39:00;c61;a7755;5;t11256935
2023-11-02 13:39:00;c61;a7044;4;t11256935
2023-11-02 13:39:00;c61;a8366;1;t11256935
2023-11-02 13:39:00;c61;a2687;5;t11256935
2023-11-02 13:39:00;c61;a6449;1;t11256935
2023-11-02 13:39:00;c61;a8214;4;t11256935
2023-11-02 13:39:00;c61;a8000;2;t11256935
2023-11-02 13:39:00;c61;a9296;1;t11256935
2023-11-02 13:39:00;c61;a2876;4;t11256935
2023-11-02 13:39:00;c61;a7070;4;t11256935
2023-11-02 13:39:00;c61;a4493;4;t11256935
